name,lat,lon
"Mattilan päiväkoti, Tuusula",60.412161,25.071417
"Karakalliontie 14, Espoo",60.230409,24.765385
"Mäntytie 1, Helsinki",60.191634,24.901802
"Pengerkatu 22, Helsinki",60.187023,24.959144
"Katontekijänkuja 1, Helsinki",60.252831,25.022475
"Pihkatie 5, Helsinki",60.251844,24.854865
"Hämeentie, Helsinki",60.198494,24.961933
"Hämeentie 28, Helsinki",60.183331,24.957985
"Pitäjänmäentie 13, Helsinki",60.224203,24.861891
"Jönsaksentie 6, Vantaa",60.261808,24.855063
"Pähkinätie 3, Vantaa",60.265007,24.803471
"Pengerkatu 21, Helsinki",60.185816,24.95959
"Herttoniemi(M), 4040, Helsinki",60.195048,25.030868
"Isonvillasaarentie 1, Helsinki",60.220968,25.145916
"Ruotsinpiha 2, Vantaa",60.286101,24.958561
"Porvoonkatu 25, Helsinki",60.191526,24.944235
"Roihuvuorentie 30, Helsinki",60.202921,25.059061
"Scandic Park Helsinki, Helsinki",60.178945,24.92796
"Sellosali, Espoo",60.217642,24.808221
"Samis, Ka1708, Kauniainen",60.21386,24.720831
"Tehtaankatu 25, Helsinki",60.158061,24.935694
"Sörnäistenkatu 1, Helsinki",60.189446,24.969527
"Taimistontie 2, Helsinki",60.218032,24.866878
"Vaakatie 1, Vantaa",60.253199,24.820022
"Vaasankatu 9, Helsinki",60.188467,24.959
"Teknikontie 7, Vantaa",60.310904,24.958244
"Ilmalantori 1, Helsinki",60.206948,24.916597
"Alakiventie 1, Helsinki",60.222771,25.075726
"Huopalahdentie 24, Helsinki",60.208107,24.878713
"Itsehallintokuja 6, Espoo",60.209667,24.82636
"Hitsaajankatu 9, Helsinki",60.192341,25.029237
"Huopalahdentie 3, Helsinki",60.197527,24.884953
"Itäviitta 1, Espoo",60.166308,24.614824
"Klippinkitie 1, Espoo",60.191724,24.597627
"Kivikko, Helsinki",60.242773,25.064958
"Koudantie 2, Helsinki",60.267222,25.056103
"Koskelantie 23, Helsinki",60.211301,24.954459
"Hämeentie 95, Helsinki",60.197236,24.962713
"Kaisaniemenkatu 3, Helsinki",60.171128,24.947133
"Kaarlenkatu 15, Helsinki",60.186725,24.952057
"Opettajantie 3, Espoo",60.144638,24.664583
"Perhonkatu 1, Helsinki",60.170014,24.925228
"Neljäs Linja 26, Helsinki",60.184345,24.946849
"Maasälväntie 16, Helsinki",60.238611,25.012169
"Lauttasaarentie 32, Helsinki",60.160171,24.879893
"Kuunkehrä, Espoo",60.173181,24.725779
"Niittykummuntie 6, Espoo",60.16898,24.757572
"Pohjois-Tapiolan koulu ja lukio, Espoo",60.187195,24.790872
"Rosendalinrinki 1, Vantaa",60.268747,24.967815
"Pietarinkatu 1, Helsinki",60.158398,24.952162
"Pyhtäänkorventie 21, Vantaa",60.300572,24.975051
"Riiantie 1, Espoo",60.187539,24.592701
"Kuortaneenkatu 7, Helsinki",60.196333,24.944331
"Riistavuorenkuja 8, Helsinki",60.21942,24.885745
"Sammalkalliontie 6, Espoo",60.176184,24.734812
"Sibelius-lukio, Helsinki",60.174539,24.956314
"Säterinkatu 8, Vantaa",60.269018,24.962406
"Talonpojantie 25, Helsinki",60.226906,25.023424
"Sturenkatu 26, Helsinki",60.194147,24.955761
"Taavetti Laitisen Katu 1, Helsinki",60.19879,24.897122
"Vallilan varikko, Helsinki",60.196701,24.962475
